charging_station_name,city,state,zipcode,street_address
"Lincoln, CA - Groveland Lane Supercharger",CA,95648,950 Groveland Lane,Lincoln
"Livermore, CA Supercharger",CA,94551,2774 Livermore Outlets Drive,Livermore
"Lone Pine, CA Supercharger",CA,93545,701 S Main St,Lone Pine
"Long Beach, CA (coming soon)",CA,No zipcode,No address given,Long Beach
"Los Altos, CA (coming soon)",CA,No zipcode,No address given,Los Altos
"Los Altos, CA Supercharger",CA,94022,4800 El Camino Real,Los Altos
"Los Angeles, CA - Francisco Street Supercharger",CA,90015,899 South Francisco Street,Los Angeles
"Los Gatos, CA Supercharger",CA,95032,142 Los Gatos-Saratoga Road,Los Gatos
"Malibu, CA - Whole Foods and the Park Supercharger",CA,90265,23475 Civic Center Way,Malibu
Mammoth Lakes Supercharger,CA,93546,1475 Tavern Road,Mammoth Lakes
"Manhattan Beach, CA Supercharger",CA,90266,3200 North Sepulveda Boulevard,Manhattan Beach
Manteca Supercharger,CA,95337,960 Perimeter Dr,Manteca
"Manteca, CA - Spreckels Avenue Supercharger",CA,95336,280 Spreckels Avenue,Manteca
"Marin City, CA - Donahue Street Supercharger",CA,94965,190 Donahue Street,Marin City
"Marina Del Rey, CA (coming soon)",CA,No zipcode,No address given,Marina Del Rey
"Mariposa, CA (coming soon)",CA,No zipcode,No address given,Mariposa
"Mendocino, CA (coming soon)",CA,No zipcode,No address given,Mendocino
"Menifee, CA Supercharger",CA,92584,30340 Haun Road,Menifee
"Menlo Park, CA Supercharger",CA,94025,325 Sharon Park Drive,Menlo Park
"Milpitas, CA - Great Mall Supercharger",CA,95035,447 Great Mall Drive,Milpitas
"Milpitas, CA Supercharger",CA,95035,901 East Calaveras Boulevard,Milpitas
"Mission Viejo, CA Supercharger",CA,92691,555 The Shops at Mission Viejo,Mission Viejo
"Modesto, CA - Sisk Road Supercharger",CA,95356,3900 Sisk Road,Modesto
Mojave Supercharger,CA,93501,16940 California 14,Mojave
"Mojave, CA (coming soon)",CA,No zipcode,No address given,Mojave
"Montebello, CA (coming soon)",CA,No zipcode,No address given,Montebello
Monterey Supercharger,CA,93940-6168,1410 Del Monte Center,Monterey
Monterey-Seaside,CA,93955,1901 Del Monte Blvd,Seaside
"Moreno Valley, CA (coming soon)",CA,No zipcode,No address given,Moreno Valley
"Morgan Hill, CA Supercharger",CA,95037,1061 Cochrane Road,Morgan Hill
Mountain View Supercharger,CA,94043,1401 N. Shoreline Blvd.,Mountain View
"Mountain View, CA (coming soon)",CA,No zipcode,No address given,Mountain View
Mt. Shasta Supercharger,CA,96067,111 Morgan Way,Mt. Shasta
"Mt. Shasta, CA - 134 Morgan Way Supercharger",CA,96067-2501,134 Morgan Way,Mt. Shasta
"Napa, CA - Factory Stores Drive Supercharger",CA,94558,629 Factory Stores Drive,Napa
"Napa, CA Supercharger",CA,94558,221 Devlin Rd,Napa
Needles Supercharger,CA,92363,2451 Needles HWY,Needles
"Newark, CA Supercharger",CA,94560,3100 Newpark Mall,Newark
"Newell, CA (coming soon)",CA,No zipcode,No address given,Newel
"Northridge, CA (coming soon)",CA,No zipcode,No address given,Northridge
"Novato, CA Supercharger",CA,94945,208 Vintage Way,Novato
"Oakland, CA (coming soon)",CA,No zipcode,No address given,Oakland
"Oakland, CA - Hegenberger Rd Supercharger",CA,94621,640 Hegenberger Road,Oakland
"Ojai, CA Supercharger",CA,93023,987 West Ojai Avenue,Ojai
"Ontario, CA (coming soon)",CA,No zipcode,No address given,Ontario
Oxnard Supercharger,CA,93036,2751 Park View Ct,Oxnard
"Pacific Palisades, CA (coming soon)",CA,No zipcode,No address given,Pacific Palisades
"Palm Springs, CA Supercharger",CA,92262,101 North Museum Drive,Palm Springs
"Palmdale, CA Supercharger",CA,93551,1233 Rancho Vista Boulevard,Palmdale
"Palo Alto, CA - Stanford Shopping Center Supercharger",CA,94304,660 Stanford Shopping Center,Palo Alto
"Pasadena, CA Supercharger",CA,91105,155 East Green Street,Pasadena
"Paso Robles, CA Supercharger",CA,93446,2421-2445 Golden Hill Road,Paso Robles
"Patterson, CA - Speno Dr Supercharger",CA,95363,2959 Speno Drive,Patterson
"Petaluma, CA Supercharger",CA,94952,401 Kenilworth Drive,Petaluma
