charging_station_name,city,state,zipcode,street_address
"Las Vegas, NV - Grand Central Parkway Supercharger",NV,89106,875 South Grand Central Parkway,Las Vegas
"Las Vegas, NV - Linq High Roller Supercharger",NV,89109,3545 South Las Vegas Boulevard,Las Vegas
"Las Vegas, NV - Tivoli Village Supercharger",NV,89145,400 South Rampart Boulevard,Las Vegas
"Las Vegas, NV Supercharger",NV,89101,701 Bridger Ave,Las Vegas
Lovelock Supercharger,NV,89419,150 Main St.,Lovelock
"Primm, NV Supercharger",NV,89019,31900 Las Vegas Blvd S,Primm
Reno Supercharger,NV,89502,3800 S Virginia St.,Reno
"Reno, NV - North Sierra Street Supercharger",NV,89503,375 N Sierra Street,Reno
Stateline Supercharger,NV,89449,50 US-50,Stateline
Tonopah Supercharger,NV,89049,171 Main St.,Tonopah
West Wendover Supercharger,NV,89883,810 W Wendover Blvd.,West Wendover
Winnemucca Supercharger,NV,89446,1985 W Winnemucca Blvd.,Winnemucca
"Ashland, NH Supercharger",NH,03217,158 Main Street,Ashland
Hooksett (Northbound) Supercharger,NH,3106,Northbound I-93,Hooksett
Hooksett (Southbound) Supercharger,NH,3106,Southbound I-93,Hooksett
Lincoln Supercharger,NH,3251,22 South Mountain,Lincoln
"North Conway, NH (coming soon)",NH,No zipcode,No address given,North Conway
"Rochester, NH Supercharger",NH,03867,290 North Main Street,Rochester
Seabrook Supercharger,NH,3874,700 Lafayette Road,Seabrook
West Lebanon Supercharger,NH,3784,285 N. Plainfield Road,West Lebanon
"Barnegat, NJ Supercharger",NJ,8005,945 West Bay Avenue,Barnegat
"Basking Ridge, NJ Supercharger",NJ,7920,415 King George Road,Basking Ridge
"Boonton, NJ Supercharger",NJ,07005,550 Myrtle Avenue,Boonton
"Burlington, NJ Supercharger",Ne,w Jersey 08016-0000,2060 US-130,Burlington
"Cape May Court House, NJ Supercharger",NJ,8210,11 Court House South Dennis Road,Cape May
"Cherry Hill, NJ (coming soon)",NJ,No zipcode,No address given,Cherry Hill
Cranbury Supercharger,NJ,8512,Mile Marker 71.7 New Jersey Turnpike,Cranbury
"Cranbury, NJ Supercharger",NJ,8512,Mile Marker 71.7 New Jersey Turnpike,Cranbury
"Deptford, NJ Supercharger",NJ,08096,1750 Deptford Center Road,Deptford
East Brunswick Supercharger,NJ,8816,Mile Marker 78 New Jersey Turnpike North,East Brunswick
"East Brunswick, NJ - State Route 18 Supercharger",NJ,8816,755 State Route 18,East Brunswick
"Edgewater, NJ (coming soon)",NJ,No zipcode,No address given,Edgewater
"Edison, NJ Supercharger",NJ,8837,55 Parsonage Rd.,Edison
Egg Harbor Township Supercharger,NJ,8234,3121 Fire Road,Egg Harbor Township
"Elizabeth, NJ (coming soon)",NJ,No zipcode,No address given,Elizabeth
"Elizabeth, NJ Supercharger",NJ,07201,651 Kapkowski Road,Elizabeth
"Freehold, NJ Supercharger",NJ,07728,909 Route 33,Freehold
"Hackensack, NJ (coming soon)",NJ,No zipcode,No address given,Hackensack
Hamilton Township Supercharger,NJ,8691,425 Market Place Blvd,Hamilton
"Jersey City, NJ - Mall Drive West Supercharger",NJ,07310-1615,30 Mall Drive West,Jersey City
"Jersey City, NJ – 1st Street Supercharger",NJ,07302,160 First Street,Jersey City
"Kearny, NJ Supercharger",NJ,7032,200 Harrison Avenue,Kearny
"Mahwah, NJ (coming soon)",NJ,No zipcode,No address given,Mahwah
"Maple Shade, NJ Supercharger",NJ,08052,2801 Route 73,Maple Shade
"Marlton, NJ Supercharger",NJ,08053,500 NJ-73,Marlton
"North Brunswick, NJ Supercharger",NJ,8902,191 Grand Avenue,North Brunswick
Paramus-Route 17,NJ,07652,530 Route 17 N,Paramus
"Parlin, NJ (coming soon)",NJ,No zipcode,No address given,Parlin
"Parsippany, NJ Supercharger",NJ,7054,350 New Road,Parsippany
"Paulsboro, NJ Supercharger",NJ,8066,51 Berkley Road,Paulsboro
"Pompton Lakes, NJ (coming soon)",NJ,No zipcode,No address given,Pompton Lakes
"Robbinsville, NJ Supercharger",NJ,8691,315 Robbinsville-Allentown Road,Robbinsville
"Rockaway, NJ Supercharger",NJ,7866,395 Mount Hope Avenue,Rockaway
"South Toms River, NJ Supercharger",NJ,08757,No address given,Tom's River
"Springfield, NJ - Cleveland Place Supercharger",NJ,07081,2017 Cleveland Place,Springfield
Tinton Falls Supercharger,NJ,7753,1 Premium Outlets Blvd,Tinton Falls
"Union City, NJ (coming soon)",NJ,No zipcode,No address given,Union City
"Wayne, NJ (coming soon)",NJ,No zipcode,No address given,Wayne
"West Orange, NJ (coming soon)",NJ,No zipcode,No address given,West Orange
"Woodbridge Township, NJ Supercharger",NJ,08857-0000,440 King Georges Road,Woodbridge
"Woodcliff Lake, NJ (coming soon)",NJ,No zipcode,No address given,Woodcliff Lake
Albuquerque Supercharger,NM,87107,2600 Menaul Blvd NE,Albuquerque
"Clayton, NM (coming soon)",NM,No zipcode,No address given,Clayton
"Clovis, NM (coming soon)",NM,No zipcode,No address given,Clovis
"Deming, NM Supercharger",No state,88030,1695  US-180,Deming
"Farmington, NM Supercharger",NM,87402-8302,4200 Sierra Vista Drive,Farmington
"Gallup, NM Supercharger",NM,87301,111 Twin Buttes Rd,Gallup
"Grants, NM (coming soon)",NM,No zipcode,No address given,Grants
"Las Vegas, NM Supercharger",NM,87701,2500 N. Grand Ave.,Las Vegas
Santa Fe Supercharger,NM,87507-4415,8380 Cerrillos Rd,Santa Fe
Santa Rosa Supercharger,NM,88435,2516 Historic Route 66,Santa Rosa
"Soccoro, NM (coming soon)",NM,No zipcode,No address given,Soccoro
"Taos, NM (coming soon)",NM,No zipcode,No address given,Taos
Truth or Consequences Supercharger,NM,87901,2201 F.G. Amin Street,Truth or Consequences
Tucumcari Supercharger,NM,88401,2624 S Adams St.,Tucumcari
"Albany, NY Supercharger",NY,12205,131 Colonie Center,Albany
"Astoria, NY (coming soon)",NY,No zipcode,No address given,Astoria
"Bath Beach, NY (coming soon)",NY,No zipcode,No address given,Bath Beach
"Bay Shore, NY (coming soon)",NY,No zipcode,No address given,Bay Shore
"Bedford Hills, NY (coming soon)",NY,No zipcode,No address given,Bedford Hills
"Bergen Beach, NY (coming soon)",NY,No zipcode,No address given,Bergen Beach
Binghamton Supercharger,NY,13905,1062 Front Street,Binghamton
"Bronx, NY - Bay Plaza Supercharger",NY,10475,260 Baychester Avenue,Bronx
"Brooklyn Heights, NY (coming soon)",NY,No zipcode,No address given,Brooklyn Heights
"Brooklyn, NY - Atlantic Avenue Supercharger",NY,11217,625 Atlantic Avenue B12,Brooklyn
"Brooklyn, NY - Brooklyn Museum Supercharger",NY,11225,878 Washington Avenue,Brooklyn
"Brooklyn, NY - N. 12th Street Supercharger",NY,11249,113 N. 12th Street,Brooklyn
Buffalo Supercharger,NY,14221,4455 Transit Road,Buffalo
"Centuck, NY (coming soon)",NY,No zipcode,No address given,Centuck
"Cheektowaga, NY Supercharger",NY,14225,2013 Walden Avenue,Cheektowaga
"Chelsea, NY (coming soon)",NY,No zipcode,No address given,Chelsea
"Chestertown, NY Supercharger",NY,12817,6151 NY-8,Chestertown
"Clinton Corners, NY Supercharger",No state,12514-2025,2300 Salt Point Turnpike,Clinton Corners
"Copiague, NY Supercharger",NY,11726,1147 Sunrise Highway,Copiague
"East Hampton, NY (coming soon)",NY,No zipcode,No address given,East Hampton
Erwin Supercharger,NY,14870,125 Victory Hwy,Erwin
"Fishkill, NY Supercharger",NY,12524,18 Westage Drive,Fishkill
"Flushing, NY Supercharger",NY,11354,136-20 38th Avenue,Flushing
"Glendale, NY - Cooper Avenue Supercharger",NY,11385,8000 Cooper Avenue,Glendale
Guilderland Supercharger,NY,12203,1 Crossgates Mall Road,Guilderland
"Harlem, NY (coming soon)",NY,No zipcode,No address given,Harlem
"Islandia, NY Supercharger",NY,11598,1750 Veterans Hwy,Islandia
"Ithaca, NY Supercharger",NY,14850,740 South Meadow Street,Ithaca
"JFK - Queens, NY Supercharger",NY,11430,150th Ave and 147th St,Queens
Kingston Supercharger,NY,12401,640 Washington Ave.,Kingston
"Kips Bay, NY (coming soon)",NY,No zipcode,No address given,Kips Bay
"Lake Placid, NY Supercharger",NY,12946,1930 Saranac Ave,Lake Placid
"Little Neck, NY (coming soon)",NY,No zipcode,No address given,Little Neck
"Manhattan, NY - Vesey Street Supercharger",NY,10080,250 Vesey Street,Manhattan
"Manorville, NY (coming soon)",NY,No zipcode,No address given,Manorville
"Middletown, NY Supercharger",NY,10941,601 East Main Street,Middletown
"New Rochelle, NY Supercharger",NY,10801-6408,33 LeCount Place and Huguenot Street,New Rochelle
"New York, NY - 59 Allen Street Supercharger",NY,95123,59 Allen Street,Lower Manhattan
"New York, NY - E 47th Street Supercharger",No state,10017,212 East 47th Street,New York
"New York, NY - Mott Street Supercharger",NY,10013-4600,106 Mott Street,New York
"New York, NY - West 75th Street Supercharger",No state,10023-1704,201 W 75th Street,New York
Newburgh Supercharger,NY,12550,1217 NY-300,Newburgh
"Oneonta, NY Supercharger",NY,13820,4968 NY-23,Oneonta
"Ossining, NY Supercharger",NY,10562,240 South Highland Avenue,Ossining
"Plainview, NY Supercharger",NY,11803-5010,1427 Old Country Road,Plainview
Plattsburgh Supercharger,NY,12901,60 Smithfield Blvd,Plattsburgh
"Port Chester, NY (coming soon)",NY,No zipcode,No address given,Port Chester
"Queens, NY - Queens Center Supercharger",NY,11373,90-15 Queens Boulevard,Queens
Queensbury Supercharger,NY,12804,578 Aviation Road,Queensbury
"Roscoe, NY Supercharger",NY,12776,1908 Old Route 17,Roscoe
"Salamanca, NY Supercharger",NY,14779,777 Seneca Allegany Boulevard,Salamanca
"Scarsdale, NY (coming soon)",NY,No zipcode,No address given,Scarsdale
"Shirley, NY (coming soon)",NY,No zipcode,No address given,Shirley
Southampton Supercharger,NY,11968,850 County Road 39,Southampton
"Staten Island, NY - Veterans Road West Supercharger",NY,10309,2925 Veterans Road West,New York City
Syracuse Supercharger,NY,13088,441 Electronics Parkway,Liverpool
Tarrytown Supercharger,NY,10591-5104,600 White Plains Road,Tarrytown
"Upper East Side, NY (coming soon)",NY,No zipcode,No address given,Upper East Side
Utica Supercharger,NY,13501,50 Auert Ave.,Utica
"Valley Stream, NY Supercharger",NY,11581,"2034 Green Acres Mall, Sunrise Highway",Valley Stream
Victor Supercharger,NY,14564,7979 Pittsford Victor Rd,Victor
"Wantagh, NY (coming soon)",NY,No zipcode,No address given,Wantagh
"Water Mill, NY Sueprcharger",NY,11976,760 Montauk Highway,Water Mill
"Waterloo, NY Supercharger",NY,13165,1133 Route 414,Waterloo
Watertown Supercharger,NY,13601,21182 Salmon Run Mall Loop W,Watertown
"West Nyack, NY Supercharger",NY,10994,1000 Palisades Center Drive,West Nyack
"White Plains, NY (coming soon)",NY,No zipcode,No address given,White Plains
"Woodbury, NY (coming soon)",NY,No zipcode,No address given,Woodbury
"Yonkers, NY Supercharger",NY,10701-3230,Archer Street,Yonkers
"Yorktown Heights, NY Supercharger",CA,10589,3379 Crompond Road,Yorktown Heights
Asheville Supercharger,NC,28806,800 Brevard Road,Asheville
"Burlington, NC Supercharger",NC,27215,1080 Piper Ln,Burlington
"Cary, NC Supercharger",NC,27519,7119 O'Kelly Chapel Road,Cary
Charlotte Supercharger,NC,28262,2720 W Mallard Creek Church Rd,Charlotte
"Charlotte, NC - Toringdon Way Supercharger",NC,28277,3429 Toringdon Way,Charlotte
"Fayetteville, NC Supercharger",NC,28312,1965 Cedar Creek Road,Fayetteville
"Greensboro, NC Supercharger",NC,27407-2747,5421 Hornaday Road,Greensboro
"Henderson, NC Supercharger",NC,27536,619 Ruin Creek Road,Henderson
"Hickory, NC Supercharger",NC,28602-5185,2191 13th Avenue Drive SE,Hickory
"Kill Devil Hills, NC Supercharger",NC,27948,2012 S Croatan Hwy,Kill Devil Hills
"Kinston, NC Supercharger",NC,28504,4483 U.S. Highway 70,Kinston
Lumberton Supercharger,NC,28358,5093 Fayetteville Rd.,Lumberton
"Mt Airy, NC Supercharger",NC,27030,2905 Rockford Street,Mt Airy
"Plymouth, NC Supercharger",NC,27962,840 U.S. 64,Plymouth
"Raleigh, NC Supercharger",NC,27609-5780,Lassiter at North Hills Ave,Raleigh
"Rocky Mount, NC Supercharger",NC,27804,651 N. Winstead Avenue,Rocky Mount
"Smithfield, NC Supercharger",NC,27577,1700 East Market Street,Smithfield
"Wallace, NC Supercharger",NC,28466,111 River Village Place,Wallace
Wilmington Supercharger,NC,28405-4191,6835 Conservation Way,Wilmington
"Bismarck, ND Supercharger",ND,58503,No address given,Bismarck
"Dickinson, ND Supercharger",ND,58601,No address given,Dickinson
"Fargo, ND Supercharger",ND,58104,5680 23rd Avenue South,Fargo
"Grand Forks, ND (coming soon)",ND,No zipcode,No address given,Grand Forks
"Jamestown, ND Supercharger",ND,58401,2400 8th Avenue Southwest,Jamestown
"Pembina, ND (coming soon)",ND,No zipcode,No address given,Pembina
"Akron, OH (coming soon)",OH,No zipcode,No address given,Akron
"Cambridge, OH Supercharger",OH,43725-3080,2101 Southgate Parkway,Cambridge
"Chillicothe, OH Supercharger",OH,45601,1080 N. Bridge Street,Chillicothe
Cincinnati,OH,45242,9111 Blue Ash Road,Cincinnati
"Cincinnati, OH Supercharger",OH,45209,4825 Marburg Avenue,Cincinnati
"Cleveland, OH (coming soon)",OH,No zipcode,No address given,Cleveland
"Columbus, OH Supercharger",OH,43215,70 East Goodale Street,Columbus
"Dayton, OH Supercharger",OH,45415,9200 N Main Street,Dayton
"Dublin, OH Supercharger",OH,43017,6175 Sawmill Road,Dublin
Grove City Supercharger,OH,43123,2221 Stringtown Rd,Grove City
Lima Supercharger,OH,45804,1933 Roschman Ave.,Lima
"Macedonia, OH Supercharger",OH,44056,8210 Macedonia Commons Blvd.,Macedonia
"Maumee, OH Supercharger",OH,43537,1391 Conant Street,Maumee
Mt. Gilead Supercharger,OH,43338-9548,6200 State Route 95,Mt. Gilead
"Polaris, OH Supercharger",OH,43240,1177 Polaris Parkway,Columbus
"Sandusky, OH Supercharger",OH,44870,4702 Milan Road,Sandusky
"Sheffield, OH Supercharger",OH,44054-2902,5295 Detroit Road,Sheffield
"Strongsville, OH Supercharger",OH,44136,9037 Pearl Road,Strongsville
"Toledo, OH Supercharger",OH,43612-3952,1500 E. Alexis Road,Toledo
"West Cincinnati, OH Supercharger",OH,45247,6550 Harrison Avenue,Cincinnati
Ardmore Supercharger,OK,73401,322 Holiday Drive,Ardmore
Catoosa Supercharger,OK,74015,777 W. Cherokee St.,Catoosa
"Henryetta, OK (coming soon)",OK,No zipcode,No address given,Henryetta
Oklahoma City Supercharger,OK,73127,7624 West Reno Ave #380,Oklahoma City
Perry Supercharger,OK,73077,2812 Fir Street,Perry
Weatherford Supercharger,OK,73096,1301 N Airport Rd,Weatherford
Baker City Supercharger,OR,97814,1 Sunridge Lane,Baker City
Bandon Supercharger,OR,97411,120 Michigan Ave. NE,Bandon
Bend Supercharger,OR,97702,61535 S Highway 97,Bend
"Boardman, OR (coming soon)",OR,No zipcode,No address given,Boardman
"Burns, OR (coming soon)",OR,No zipcode,No address given,Burns
"Detroit, OR Supercharger",OR,97342,210 D Street,Detroit
Grants Pass Supercharger,OR,97526,1900 NW 6th St.,Grants Pass
"Hillsboro, OR Supercharger",OR,97006,18101 NW Evergreen Parkway,Beaverton
"Hood River, OR (coming soon)",OR,No zipcode,No address given,Hood River
Klamath Falls Supercharger,OR,97603-4455,2655 Shasta Way,Klamath Falls
Lincoln City Supercharger,OR,97367,1500 SE East Devils Lake Rd.,Lincoln City
"Madras, OR (coming soon)",OR,No zipcode,No address given,Madras
"Medford, OR Supercharger",OR,97504,2000 Crater Lake Highway,Medford
"Newport, OR (coming soon)",OR,No zipcode,No address given,Newport
"Ontario, OR Supercharger",OR,97914,203 East Street West,Ontario
Pendleton Supercharger,OR,97801,46510 Wildhorse Blvd.,Pendleton
"Portland, OR (coming soon)",OR,No zipcode,No address given,Portland
"Portland, OR  - NW (coming soon)",OR,No zipcode,No address given,Portland
"Portland, OR - NE (coming soon)",OR,No zipcode,No address given,Portland
"Portland, OR - SE (coming soon)",OR,No zipcode,No address given,Portland
"Roseburg, OR (coming soon)",OR,No zipcode,No address given,Roseburg
"Salem, OR Supercharger",OR,97301,3790 Center Street NE,Salem
Sandy Supercharger,OR,97055,16625 SE 362nd Dr.,Sandy
"Seaside, OR Supercharger",OR,97138,1111 N Roosevelt Dr,Seaside
"Springfield, OR Supercharger",OR,97477,919 Kruse Way,Springfield
"The Dalles, OR Supercharger",OR,97058,2114 West 6th Street,The Dalles
"Tigard, OR Supercharger",OR,97223,9585 Southwest Washington Square Road,Tigard
Woodburn Supercharger,OR,97071,255 N Arney Rd,Woodburn
Allentown Supercharger,PA,18104,4680 Broadway,Allentown
"Altoona, PA Supercharger",PA,16602,1915 Pleasant Valley Boulevard,Altoona
"Bellefonte, PA Supercharger",PA,16823-9119,170 Buckaroo Ln,Bellefonte
"Bensalem, PA Supercharger",PA,19020,3620 Street Road,Bensalem
Bloomsburg Supercharger,PA,17815,11 Ricky Ave.,Bloomsburg
Breezewood Supercharger,PA,15533,16417 Lincoln Highway,Breezewood
"Bridesburg, PA (coming soon)",PA,No zipcode,No address given,Bridesburg
"Carlisle, PA Supercharger",PA,17015,1720 Harrisburg Pike,Carlisle
"Cranberry Township, PA Supercharger",PA,16066,1308 Freedom Rd,Cranberry Township
Erie Supercharger,PA,16509,2225 Down Drive,Erie
Falls Creek Supercharger,No state,15840-9515,1867 Rich Highway,Falls Creek
"Franklin Park, PA Supercharger",PA,15143-8504,2615 Nicholson Road & Wexford Bayne Road,Franklin Park
"Gettysburg, PA Supercharger",PA,17325,30 Camp Letterman Drive,Gettysburg
"Grove City, PA Supercharger",PA,16127,1931 Butler Pike,Grove City
Harrisburg Supercharger,PA,17109,3819 Union Deposit Rd,Harrisburg
Hermitage Supercharger,PA,16148,2381 S. Hermitage Road,Hermitage
"King of Prussia, PA (coming soon)",PA,No zipcode,No address given,King of Prussia
"Lancaster, PA Supercharger",PA,17601,518 Greenfield Road,Lancaster
Moosic Supercharger,PA,18507-2140,1035 Shoppes Blvd,Moosic
"North Huntingdon, PA Supercharger",PA,15642-0000,7821 U.S. 30,North Huntingdon
"Philadelphia, PA - Center City Supercharger",PA,19107,34 South 11th Street,Philadelphia
"Philadelphia, PA - North 20th Street Supercharger",PA,19130,420 North 20th Street,Philadelphia
"Pittsburgh, PA Supercharger",PA,15232,5550 Centre Avenue,Pittsburgh
"Plymouth Meeting, PA (coming soon)",PA,No zipcode,No address given,Plymouth Meeting
"Robinson, PA (coming soon)",PA,No zipcode,No address given,Robinson
"Somerset, PA Supercharger",PA,15501,1030 North Center Avenue,Somerset
"Springfield, PA (coming soon)",PA,No zipcode,No address given,Springfield
"Swartzville, PA (coming soon)",PA,No zipcode,No address given,Swartzville
Tannersville Supercharger,PA,18372,1000 Premium Outlets Dr,Tannersville
"Washington, PA Supercharger",PA,15301,331 Washington Road,Washington
"Williamsport, PA Supercharger",PA,17701,105 Maynard Street,Williamsport
"York, PA Supercharger",PA,17403,160 Leader Heights Road,York
"Guaynabo, PR Supercharger",PR,00968,B5 Suite 212 Cll Tabonuco,Guaynabo
"East Greenwich, RI Supercharger",RI,2818,1000 Division St,East Greenwich
"Newport, RI (coming soon)",RI,No zipcode,No address given,Newport
"Columbia, SC Supercharger",SC,29203-9729,8910 Farrow Road,Columbia
"Florence, SC Supercharger",SC,29501-4043,2701 David H McLeod Blvd,Florence
Greenville Supercharger #2,SC,29605,108 Carolina Point,Greenville
"Hardeeville, SC Supercharger",SC,29927,16319 Whyte Hardee Blvd,Hardeeville
"Hilton Head, SC Supercharger",SC,29928,30 Office Park Road,Hilton Head Island
Myrtle Beach Supercharger,SC,29577-9798,2000 Coastal Grand Circle,Myrtle Beach
"North Charleston, SC Supercharger",SC,29418,4855 Tanger Outlet Boulevard,North Charleston
"Santee, SC Supercharger",SC,29142,114 Bradford Blvd,Santee
"Custer, SD Supercharger",SD,57730-2033,800 Mount Rushmore Road,Custer
"Mitchell, SD Supercharger",SD,57301,1305 W. Havens Street,Mitchell
"Murdo, SD Supercharger",SD,57559,302 W 5th St.,Murdo
"Oacoma, SD Supercharger",SD,57365-0000,1000 E Dakota Highway 16,Chamberlain
"Rapid City, SD Supercharger",SD,57701,2200 N. Maple Ave,Rapid City
"Sioux Falls, SD Supercharger",SD,57106-3636,1900 South Marion Rd,Sioux Falls
"Spearfish, SD Supercharger",SD,57783-6222,3275 Old Belle Rd,Spearfish
"Wall, SD Supercharger",SD,57790,418 Main Street,Wall
"Watertown, SD (coming soon)",SD,No zipcode,No address given,Watertown
"Brentwood, TN - Old Hickory Boulevard Supercharger",TN,37027,780 Old Hickory Boulevard,Brentwood
"Bristol, TN Supercharger",TN,No zipcode,416 Pinnacle Parkway,Bristol
"Chattanooga, TN Supercharger",TN,37421,1001 Airport Road,Chattanooga
"Cookeville, TN Supercharger",TN,38501-5930,377 West Jackson Street,Cookeville
"Dickson, TN Supercharger",TN,37055-0000,100 Barzani Blv,Dickson
"Jackson, TN Supercharger",TN,38305-2481,56 Casey Jones Lane,Jackson
Knoxville Supercharger,TN,37934,10936 Parkside Dr,Knoxville
"Manchester, TN Supercharger",TN,37355,2224 Hillsboro Blvd,Manchester
"Memphis, TN Supercharger",TN,38119-5322,6073 Park Avenue,Memphis
"Nashville, TN Supercharger",TN,37211,61 East Thompson Lane,Nashville
Nashville-Brentwood,TN,37027,1641 Westgate Circle,Nashville
"Alvarado, TX Supercharger",TX,76009,3313 I-35W,Alvarado
Amarillo Supercharger,TX,79124,8231 West Amarillo Blvd.,Amarillo
Arlington Supercharger,TX,76011-5110,1200 Ballpark Way,Arlington
"Austin, TX (South) (coming soon)",TX,No zipcode,No address given,Austin
"Austin, TX - Downtown (coming soon)",TX,No zipcode,No address given,Austin
"Austin, TX - Research Boulevard Supercharger",TX,78759,9607 Research Boulevard,Austin
"Austin, TX Supercharger",TX,78752-0000,6406 N. Interstate 35 Frontage Road,Austin
"Beaumont, TX (coming soon)",TX,No zipcode,No address given,Beaumont
"Boerne, TX (coming soon)",TX,No zipcode,No address given,Boerne
"Brownsville, TX  (coming soon)",TX,No zipcode,No address given,Brownsville
"Cedar Park, TX (coming soon)",TX,No zipcode,No address given,Cedar Park
Channelview Supercharger,TX,777530,16311 East Fwy,Channelview
Childress Supercharger,TX,79201,"1300 Ave F NW Childress, Texas",Childress
Cisco Supercharger,TX,76437,16851 IH 20,Cisco
"College Station, TX (coming soon)",TX,No zipcode,No address given,College Station
"Columbus, TX Supercharger",TX,78934,2535 Texas 71,Columbus
Corsicana Supercharger,TX,75109,2035 Interstate 45 Frontage Rd,Corsicana
"Dallas, TX (Downtown) (coming soon)",TX,No zipcode,No address given,Dallas
"Dallas, TX - Mesquite (coming soon)",TX,No zipcode,No address given,Dallas
"Dallas, TX - North Central Expressway Supercharger",No state,75231-4302,9740 North Central Expressway,Dallas
"Denison, TX (coming soon)",TX,No zipcode,No address given,Denison
Denton Supercharger,TX,76201,2700 West University Drive,Denton
"Dilley, TX (coming soon)",TX,No zipcode,No address given,Dilley
El Paso Supercharger,TX,79932-8515,6401 South Desert Boulevard,El Paso
"Falfurrias, TX (coming soon)",TX,No zipcode,No address given,Falfurrias
Flatonia Supercharger,TX,78941,1415 FM 609,Flatonia
"Fort Stockton, TX Supercharger",TX,79735,2571 North Front Street,Fort Stockton
"Fort Worth, TX - Whitmore Street Supercharger",TX,76107,2616 Whitmore Street,Fort Worth
"Fredericksburg, TX (coming soon)",TX,No zipcode,No address given,Fredericksburg
"Giddings, TX Supercharger",TX,78942,3025 East Austin Street,Giddings
"Henrietta, TX Supercharger",TX,76365,237 Frontage Road,Henrietta
"Houston, TX (coming soon)",TX,No zipcode,No address given,Houston
"Houston, TX - Northwest Freeway Supercharger",TX,77040,14620 Northwest Freeway,Houston
"Houston, TX - Uptown (coming soon)",TX,No zipcode,No address given,Houston
Houston-North,TX,77090,14820 North Fwy,Houston
"Huntsville, TX Supercharger",TX,77340,148 Interstate 45,Huntsville
"Italy, TX Supercharger",TX,76651,1021 Dale Evans Drive,Italy
Junction Supercharger,TX,76849-3104,2415 N Main Street,Junction
"Katy, TX Supercharger",TX,77494,25675 Nelson Way,Katy
Kingsville Supercharger,TX,78363-2844,2400  South US Hwy 77,Kingsville
"Laredo, TX Supercharger",TX,78041-9143,110 Calle Del Norte Drive,Laredo
"Leon Springs, TX Supercharger",TX,78357,24165 I-10 #300,San Antonio
Lindale Supercharger,TX,75771,17044 I-20,Lindale
"Lubbock, TX (coming soon)",TX,No zipcode,No address given,Lubbock
McAllen Supercharger,No state,78501-0018,800 Convention Center Blvd,McAllen
Midland Supercharger,TX,79706-3525,Love’s Travel Stop,Midland
Nacogdoches Supercharger,TX,75964-2629,2615 NW Stallings Dr,Nacogdoches
Ozona Supercharger,TX,76943,1307 Ave. A,Ozona
"Pecos, TX Supercharger",TX,79772,100 East Pinehurst Street,Pecos
"Plano, TX Supercharger",TX,75024,7161 Bishop Road,Plano
"Richmond, TX Supercharger",TX,77469,20500 Southwest Freeway,Richmond
"San Angelo, TX (coming soon)",TX,No zipcode,No address given,San Angelo
"San Antonio, TX - Alamo Heights (coming soon)",TX,No zipcode,No address given,San Antonio
"San Antonio, TX Supercharger",TX,78230,11745 I-10,San Antonio
"San Marcos, TX Supercharger",TX,78666,3939 Interstate 35,San Marcos
"Schertz, TX Supercharger",TX,78154,17460 IH 35N,Schertz
Shamrock Supercharger,TX,79079,107 East 12th Street,Shamrock
"South Padre Island, TX Supercharger",TX,78597,100 Padre Blvd,South Padre Island
"Southlake, TX Supercharger",TX,76092,261 North Carroll Avenue,Southlake
Sulphur Springs Supercharger,TX,75482,300 W Tomlinson Street,Sulphur Springs
Sweetwater Supercharger,TX,79556,300 SE Georgia Ave.,Sweetwater
Texarkana Supercharger,TX,75503-2434,3101 Mall Drive,Texarkana
Three Rivers Supercharger,TX,78071,2645 S. Hwy 37,Three Rivers
Van Horn Supercharger,TX,79855,1921 Frontage Rd,Van Horn
Victoria Supercharger,TX,77901,3107 S Laurent St.,Victoria
Waco Supercharger,TX,76705,701 Interstate 35,Bellmead
"Beaver, UT Supercharger",UT,84713,Littlefield Interchange,Beaver
"Blanding, UT Supercharger",UT,84511,12 N Grayson Parkway,Blanding
"Cedar City, UT (coming soon)",UT,No zipcode,No address given,Cedar City
"Draper, UT (coming soon)",UT,No zipcode,No address given,Draper
"Green River, UT Supercharger",UT,84525,1765 East Main,Green River
"Moab, UT Supercharger",UT,84532,16 South Main Street,Moab
"Nephi, UT Supercharger",UT,84648,2100 S Main Street,Nephi
"Ogden, UT (coming soon)",UT,No zipcode,No address given,Ogden
"Park City, UT (coming soon)",UT,No zipcode,No address given,Park City
Price Supercharger,UT,84501,925 Westwood Blvd.,Price
"Provo, UT (coming soon)",UT,No zipcode,No address given,Provo
"Richfield, UT Supercharger",UT,84701,20 W 1400 N,Richfield
Salt Lake City-S. State Street,UT,84115,2312 South State Street,South Salt Lake City
St. George Supercharger,UT,84770,1091 N Bluff St,St. George
Tooele Supercharger,UT,84074,1568 East Saddleback Blvd.,Tooele
Tremonton Supercharger,UT,84337,2145 W Main Street,Tremonton
"Berlin, VT Supercharger",VT,5602,213 Paine Turnpike N,Berlin
Brattleboro Supercharger,VT,5301,499 Canal Street,Brattleboro
"Lyndon, VT (coming soon)",VT,No zipcode,No address given,Lyndon
"Rutland, VT Supercharger",VT,05701,194 Woodstock Ave,Rutland
South Burlington Supercharger,VT,5043,222 Dorset Street,South Burlington
"Arlington, VA Supercharger",VA,22201,2800 Clarendon Boulevard,Arlington
"Arlington, VA Supercharger #2",VA,22201,2800 Clarendon Boulevard,Arlington
